commit	avg_return	alpha	win_rate	status	description
ca6b8f5	103.72	41.52	57.5	keep	baseline
564e6d5	22.35	-9.97	45.7	discard	v2: stronger negative filters - too aggressive
e89a25a	75.58	27.54	60.3	discard	v3: buy/sell volume USD ratio - lower avg_return
58d6b33	119.06	68.94	70.7	keep	v4: calibrate thresholds from training data
d3e04fa	121.49	74.25	70.0	discard	v7: lower starting score 0.4 - lower avg_return
a530ef1	129.56	73.72	75.6	keep	v6: multi-label calibration (moon vs rug+down)
de0e714	126.69	84.33	74.1	keep	v8: liq/mcap ratio + wallet diversity - higher total PnL
45b3a92	85.65	46.90	65.9	discard	v9: calibration weight 0.05 too aggressive
c49edd7	107.84	41.98	64.7	discard	v10: early vol + candle count - worse
fa93cc3	166.84	100.61	66.0	keep	v11: fix liq/mcap + stronger early price + pump_dump detect
c6b9d05	175.73	98.30	63.9	keep	v12: pump_dump in calibration + early_price weight
70bec64	162.07	54.64	78.0	discard	v13: tiered bs ratio - lower avg_return
fd0d7b6	153.65	82.76	59.5	discard	v14: remove social - social signals do help
1feb7cb	187.54	118.01	71.8	keep	v15: hard reject early dumps + tiered momentum + sec warnings
2a1bfbb	144.83	102.09	80.0	discard	v16: tiered sell vol penalty - too aggressive
76dbec5	106.33	77.34	57.6	discard	v17: volume_per_holder - worse
2982bea	89.60	43.21	58.1	discard	v18: liq/mcap refinement - too aggressive
f7a1d1a	208.22	112.41	81.8	keep	v19: add trade count signal - big improvement
c71f7c2	120.04	79.24	70.7	discard	v20: compound momentum+buy - diluted results
6965811	135.34	96.87	72.1	discard	v21: tighter early vol thresholds - worse
4c088c3	176.16	103.43	84.8	discard	v22: unique wallets min filter - too aggressive
6f2a6b3	161.04	92.39	73.0	discard	v23: soft unique wallets - worse
---	---	---	---	---	NOTE: v1-v23 used non-deterministic hash() split. Below uses hashlib.md5 deterministic split + sell simulation.
